TSNE Element 1,TSNE Element 2,TSNE Element 3,stimulus,restimulus
28.10729,-21.254837,22.706476,0,0
27.938797,-21.741179,23.259665,0,0
28.102795,-21.257685,22.7032,0,0
-29.983158,-2.3986933,-13.104067,0,0
-27.961206,0.6298645,-14.493892,0,0
-27.9028,0.39165795,-14.474322,0,0
-29.972212,-2.8220837,-14.922625,0,0
-30.098864,-3.3060174,-15.590347,0,0
-31.631016,-4.933121,-14.503578,0,0
-31.849634,-4.586774,-13.411915,0,0
-32.401104,-5.033317,-13.319083,0,0
-29.897764,-3.0027587,-15.374939,0,0
-30.041138,-2.7464356,-14.960493,0,0
-31.835516,-4.5083137,-12.991057,0,0
-33.76239,-6.963344,-13.4304905,0,0
24.320023,-7.750608,35.18797,0,0
-39.246906,-4.53678,-0.60632086,0,0
-42.06638,-0.39185205,7.938598,0,0
-41.780437,-0.037312932,8.018822,0,0
23.54677,-7.904985,35.032185,0,0
22.45108,0.18876459,32.07001,0,0
-33.477886,-5.9896812,-7.236437,0,0
-44.32582,5.2364845,0.23856474,0,0
29.156914,20.202272,-21.62775,0,0
-18.700787,-36.47588,15.319789,0,0
27.593046,-21.508804,22.764482,0,0
28.782227,24.660719,-4.0147943,0,0
-20.482054,2.4859982,31.279211,0,0
-16.904625,-9.30677,31.707922,0,0
-10.525406,-1.1609089,23.754112,0,0
-10.489513,-1.1913248,23.739054,0,0
-16.952322,-2.7791502,31.710375,0,0
-34.14745,0.41367272,-8.359548,0,0
-34.919857,-1.0442357,-7.2754846,0,0
-28.93164,18.063232,23.447351,0,0
-35.022995,-29.41323,4.5917883,0,0
35.59162,7.242172,-15.148636,0,0
-25.502459,4.9305468,23.923405,0,0
-44.32581,5.2364993,0.2385647,0,0
28.108252,-21.257124,22.705576,0,0
-30.173632,-6.670152,25.727898,0,0
27.600138,-21.226852,23.025724,0,0
-11.856433,8.018504,34.81955,0,0
-35.895607,-0.41275656,-7.290158,0,0
-35.41025,-2.017714,-6.4802513,0,0
-32.366165,-2.8450181,-7.5978813,0,0
-29.982893,-3.9614584,-12.075164,0,0
-29.872469,-4.0476313,-12.221234,0,0
-31.542963,-5.843027,-11.102745,0,0
-28.527763,0.05916374,-14.229191,0,0
-27.959265,1.7297143,-14.827325,0,0
-28.066711,1.0305086,-14.531461,0,0
-27.634733,2.3453903,-15.128389,0,0
-27.35927,2.274431,-15.210642,0,0
-28.127115,0.6297002,-14.417725,0,0
-29.38738,-0.6910268,-13.766737,0,0
-28.055557,0.3479449,-14.427662,0,0
-27.649244,1.0574448,-14.681708,0,0
-26.749838,1.7525023,-15.184228,0,0
-27.963398,0.63755894,-14.483185,0,0
-30.331987,-3.0756257,-13.596732,0,0
-29.792862,0.9864115,-13.422456,0,0
-29.268261,4.0197015,-15.746742,0,0
-29.987635,4.738981,-16.271862,0,0
-30.142332,3.95273,-15.138,0,0
-30.174856,2.3585896,-13.761974,0,0
-30.339247,0.43147513,-12.647439,0,0
-31.375273,-0.129071,-10.627262,0,0
-29.682777,-2.5988464,-14.173903,0,0
-29.713017,-3.2505734,-15.917012,0,0
-31.28468,-5.370039,-15.159465,0,0
-35.95045,-7.784196,-13.258361,0,0
-13.330494,-11.802807,39.412086,0,0
22.213545,0.25808793,32.355312,0,0
-33.477898,-5.9896674,-7.2364383,0,0
-32.89243,-4.391271,-8.555268,0,0
35.59162,7.242172,-15.148636,0,0
22.213545,0.25808793,32.355312,0,0
-35.793095,-22.076586,-3.3736036,0,0
-18.52384,-27.986263,25.804188,0,0
-25.505188,4.717639,23.762781,0,0
29.252422,19.873663,-21.955227,0,0
-30.173632,-6.670152,25.727898,0,0
-11.8498,8.065575,34.807594,0,0
-28.929834,18.063232,23.447746,0,0
-32.51089,-1.6420143,19.881857,0,0
35.746273,7.112403,-15.369249,0,0
-32.51089,-1.6420143,19.881857,0,0
29.156914,20.202272,-21.62775,0,0
28.094374,-21.261023,22.697865,0,0
-37.65581,-4.8179255,12.573369,0,0
-33.675304,-7.05108,-13.344287,0,0
-34.260258,-8.751722,-17.281282,0,0
-44.688915,-16.871147,-15.788015,0,0
-42.158485,-0.3950757,7.9520087,0,0
23.772816,-7.443211,34.719765,0,0
-33.27932,-7.682517,-19.685438,0,0
-23.941235,-7.299025,-23.347202,0,0
-23.886162,-6.7971554,-22.689028,0,0
-13.561633,-3.4676213,-6.440982,0,0
-9.8176985,-2.1620152,-4.473662,0,0
-5.494314,-9.234594,-5.282416,0,0
-7.6169624,-11.793294,-6.0053997,0,0
-38.385643,8.893715,-5.41101,0,0
-10.679291,-16.665392,-12.635966,0,0
-11.833042,-19.185892,-14.679696,0,0
-10.221107,-20.835192,-12.243074,0,0
-11.89183,-21.748734,-9.046303,0,0
-12.377036,-19.963629,-8.579947,0,0
-13.726356,-20.502434,-10.530693,0,0
-15.3530655,-21.029661,-10.343866,0,0
-18.428385,-23.54819,-15.395692,0,0
-19.986818,-20.381477,-15.6625185,0,0
